ValueId,StudyId,Year_Pub,Country_Codes,Int$_Per_Hectare_Per_Year,Continent,Site_Area_In_Hectares,Latitude,Longitude,Coastal_dunes,Coastal_lakes_and_lagoons,Coastal_river_deltas,Coastal_salt_marshes_and_reedbeds,Coral_reefs,Kelp_forests,Mangroves,Muddy_shorelines,_Plantations,Riverine_estuaries_and_bays,Rocky_shorelines,Sandy_shorelines,Seagrass_meadows,Shellfish_beds_and_reefs,Subtidal_sand_beds,_Tropical_cloud_forests,Tropical_dry_forests,Tropical_rain_forests,Aesthetic_information,Air_quality_regulation,Biological_control,Climate_regulation,Erosion_prevention,"Existence,_bequest_values",Food,Genetic_resources,Information_for_cognitive_development,"Inspiration_for_culture,_art_and_design",Maintenance_of_genetic_diversity,Maintenance_of_life_cycles,Maintenance_of_soil_fertility,Medicinal_resources,Moderation_of_extreme_events,Opportunities_for_recreation_and_tourism,Ornamental_resources,Pollination,Raw_materials,Regulation_of_water_flows,Spiritual_experience,Waste_treatment,Water,CE,CV,DC,FI,GV,HP,IO,MP,OC,PF,PP,RC,RT,SC,TC,VT,OT,Valued_Change,Number_Of_Beneficiaries,Site_Condition,Ecosystem_Condition,Real_GDP_per_capita,Population_in_25_km_radius,Population_in_50_km_radius,Population_in_75_km_radius,Ecosystem_area_in_25_km_radius,Ecosystem_area_in_50_km_radius,Ecosystem_area_in_75_km_radius,Length_of_coastal_segment,Urbanization_index,Reference
12400001,1240,2009,DEU,63161.1045,Europe,441000,53.862,8.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marginal estimate of WTP,39000000,,Intermediate,,,,,,,,,,"Liu, X., Wirtz, K. W., Kannen, A., & Kraft, D. (2009). Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey. Marine pollution bulletin, 58(10), 1514-1521."
12400003,1240,2009,DEU,3969.3082,Europe,441000,53.862,8.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mean WTP,39000000,,Intermediate,,,,,,,,,,"Liu, X., Wirtz, K. W., Kannen, A., & Kraft, D. (2009). Willingness to pay among households to prevent coastal resources from polluting by oil spills: A pilot survey. Marine pollution bulletin, 58(10), 1514-1521."
12380001,1238,2010,DEU,34011.3836,Europe,22772,53.7,7.333333,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,total regional income Wadden Sea National Park,20600000,plays a minor role in the tourism marketing of the region and cooperation between the national park and the tourism industry remains at a low level,Well-functioning (or extensively managed),,,,,,,,,,"Mayer, M., Müller, M., Woltering, M., Arnegger, J., & Job, H. (2010). The economic impact of tourism in six German national parks. Landscape and Urban Planning, 97(2), 73–82. https://doi.org/10.1016/j.landurbplan.2010.04.013"
12290001,1229,2012,NLD,30.9508,Europe,1501500,52.366668,4.883334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aggregated annual non-use value for nature improvements,7473438,,,,,,,,,,,,"van Beukering, P., Botzen, W., & Wolfs, E. (2012). The non-use value of nature in the Netherlands and the Caribbean Netherlands. Institute for Environmental Studies - Vrije Universiteit, Amsterdam."
12290002,1229,2012,BES,86.8949,North America,280340,17.381,-63.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aggregated annual non-use value for nature improvements,27726,,,,,,,,,,,,"van Beukering, P., Botzen, W., & Wolfs, E. (2012). The non-use value of nature in the Netherlands and the Caribbean Netherlands. Institute for Environmental Studies - Vrije Universiteit, Amsterdam."
12180005,1218,2016,NLD,45.6107,Europe,11.2,52.85,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mean WTP - current,415,important habitat for birds,Well-functioning (or extensively managed),,,,,,,,,,"Wilker, J., Rusche, K., Benning, A., MacDonald, M. A., & Blaen, P. (2016). Applying ecosystem benefit valuation to inform quarry restoration planning. Ecosystem services, 20, 44-55."
12180011,1218,2016,NLD,129.9786,Europe,11.2,52.85,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Net GHG sequestration - current,,important habitat for birds,Well-functioning (or extensively managed),,,,,,,,,,"Wilker, J., Rusche, K., Benning, A., MacDonald, M. A., & Blaen, P. (2016). Applying ecosystem benefit valuation to inform quarry restoration planning. Ecosystem services, 20, 44-55."
12180009,1218,2016,NLD,247.9069,Europe,135,50.9455,5.8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Net GHG sequestration - current,,special ecological interest,Well-functioning (or extensively managed),,,,,,,,,,"Wilker, J., Rusche, K., Benning, A., MacDonald, M. A., & Blaen, P. (2016). Applying ecosystem benefit valuation to inform quarry restoration planning. Ecosystem services, 20, 44-55."
12160003,1216,2008,NLD,1217.2806,Europe,100000,52.1508,5.9704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lognormal mean WTP scenario 1 & 2,6930000,"From an ecological point of view, the area is extremely important because of its size, equaling approximately 1,000 square kilometres, and its ecological quality",Well-functioning (or extensively managed),,,,,,,,,,"Van der Heide, C. M., van den Bergh, J. C., van Ierland, E. C., & Nunes, P. A. (2008). Economic valuation of habitat defragmentation: A study of the Veluwe, the Netherlands. Ecological Economics, 67(2), 205-216."
12160002,1216,2008,NLD,1979.019,Europe,100000,52.1508,5.9704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lognormal mean WTP scenario 2,6930000,"From an ecological point of view, the area is extremely important because of its size, equaling approximately 1,000 square kilometres, and its ecological quality",Well-functioning (or extensively managed),,,,,,,,,,"Van der Heide, C. M., van den Bergh, J. C., van Ierland, E. C., & Nunes, P. A. (2008). Economic valuation of habitat defragmentation: A study of the Veluwe, the Netherlands. Ecological Economics, 67(2), 205-216."
