Longitude,Latitude,is_population,population_in_25_km_radius,population_in_50_km_radius,population_in_75_km_radius
8.694,53.862,true,101182.5234375,557353.25,1.488210625e6
7.333333,53.7,true,111903.15625,417377.53125,1.183246125e6
4.883334,52.366668,true,2.3410005e6,5.630215e6,9.121238e6
-63.15,17.381,true,4861.7958984375,39807.2578125,97135.3671875
6.6,52.85,true,349008.21875,1.56869375e6,3.6080485e6
5.8975,50.9455,true,1.2973985e6,4.04481425e6,8.851078e6
5.9704,52.1508,true,825587.375,3.206039e6,7.158299e6
14.106008,40.61004,true,232504.34375,3.574646e6,4.942205e6
-88.7,17.066667,true,39908.94140625,131463.96875,299164.125
-59.22,-51.73,true,46.51392364501953,68.61457061767578,408.4222412109375
-80.375481,-2.663256,true,91274.65625,135298.375,1.521305875e6
38.7,-5.34,true,262385.21875,858670.5625,1.793396625e6
-45.0,47.0,true,0.0,0.0,0.0
-80.5,19.5,true,0.0,262.22900390625,2370.04296875
20.0,58.0,true,0.0,343.4731140136719,2826.80517578125
26.0995,60.1384,true,832.9368896484375,78292.890625,1.31064375e6
121.666667,19.25,true,7231.671875,18996.591796875,20820.076171875
122.137,13.397,true,96970.578125,588393.875,1.234068e6
114.2833,11.0522,true,0.0,0.0,0.0
118.93,10.227,true,15181.748046875,146870.4375,422402.375
120.196,16.275,true,258169.875,3.44081125e6,5.3369445e6
126.566,33.227,true,213895.609375,501125.84375,501126.125
168.017,-16.63,true,6708.263671875,23846.77734375,39741.359375
-61.2872,12.9843,true,61898.3125,104632.0,109958.0078125
-61.355,12.6333,true,9774.01171875,16447.2734375,164627.46875
107.73,20.13,true,978.1829223632812,978.1829833984375,994.4135131835938
107.34,17.16,true,85.37724304199219,436406.0625,951752.0
103.49,9.31,true,872.8357543945312,872.835693359375,872.835693359375
4.8057,5.5902,true,0.0,228415.53125,498837.34375
119.5,-4.75,true,342769.1875,2.43124e6,3.702172e6
-66.5,18.25,true,414807.75,1.83923725e6,3.12778625e6
-63.109,18.052,true,90511.3515625,104357.46875,109321.78125
-162.0,-17.0,true,0.0,0.0,0.0
-87.913,19.596,true,37223.88671875,56675.22265625,93442.0
-88.288,17.337,true,101941.484375,142964.8125,211327.265625
-85.437,16.014,true,9977.353515625,77085.8125,235491.46875
-105.222222,20.645833,true,441097.0,511756.46875,612898.8125
101.8519,2.4069,true,141686.40625,1.44132225e6,4.411812e6
147.7,-18.283333,true,0.0,0.0,0.0
119.1144,-4.8756,true,1589.401611328125,1.241108625e6,3.1133185e6
120.7798,21.9483,true,36795.9296875,56287.8125,364674.625
-81.2079,29.5845,true,148292.421875,490351.59375,1.021470625e6
-157.9868,21.473,true,774155.875,1.0344415e6,1.0344415625e6
-75.75,10.166667,true,12444.880859375,1.1661455e6,1.41726975e6
110.4396,-5.8489,true,4449.509765625,4711.091796875,16388.353515625
114.0453,-7.2025,true,145156.9375,939868.1875,2.650081e6
106.5805,-5.545,true,14385.529296875,18632.73046875,7.8827635e6
126.4983,33.489,true,232898.421875,501129.875,503722.8125
118.9542,-4.7014,true,883.0863037109375,1957.252197265625,1.23810075e6
119.4629,-4.7668,true,330972.9375,2.595229e6,3.6681085e6
119.2346,-4.8113,true,4316.5908203125,2.241988e6,3.2400795e6
121.774,12.8797,true,5132.47021484375,525485.3125,1.128259625e6
121.1023,10.9534,true,43513.64453125,52927.15625,68153.125
12.9,54.466667,true,87944.9375,219907.03125,667260.75
8.646408,54.456302,true,24368.46484375,254756.875,791961.75
-81.1420627,7.8010445,true,20871.587890625,188146.703125,334769.5625
-81.7831971,7.3103559,true,64.63417053222656,86.6144027709961,7876.7138671875
-86.7434479,12.8563647,true,71395.328125,773033.375,1.5697745e6
-87.132311,15.7750233,true,96053.140625,504473.1875,859298.25
-80.8809186,-5.5448178,true,114435.1875,666282.125,1.05028775e6
-69.6667187,19.1665479,true,93012.171875,504527.0625,2.1771855e6
-76.9670489,21.4414713,true,38957.4921875,198357.6875,698610.8125
-85.1586576,10.102141,true,42125.265625,293768.3125,647984.125
-84.8140026,9.7262165,true,31252.97265625,246619.578125,1.189078875e6
-105.4590828,21.9076305,true,93803.78125,271775.625,664273.5625
-112.1016487,25.3716987,true,3578.9296875,22788.66015625,98586.734375
-78.9063101,1.283649,true,63188.8125,139619.78125,311257.8125
-80.2448004,-2.6244597,true,91998.9609375,151455.328125,3.47105225e6
-79.6246771,-2.4195025,true,80834.515625,3.082621e6,4.356777e6
-79.9667,-2.2,true,3.2168365e6,3.79752375e6,4.610761e6
-79.744,-2.509,true,73987.5,3.0027485e6,4.140278e6
-78.186249,2.968728,true,108.16470336914062,8961.69921875,121233.25
-74.0657025,11.3067039,true,508108.46875,671145.5,749651.9375
-81.7073435,12.5449786,true,76212.125,76216.53125,76216.53125
-78.7903328,1.7876052,true,132473.03125,183056.0,322839.03125
-74.416667,10.866667,true,110747.21875,3.071557e6,3.493713e6
-77.431,5.84148,true,6695.8818359375,31092.40234375,64988.1796875
-78.2654387,2.4875401,true,74601.359375,125070.921875,179172.1875
-73.1211249,11.3712304,true,35303.43359375,359778.1875,579915.1875
-74.4199072,10.9677291,true,127461.015625,3.0495665e6,3.4452645e6
-76.5469069,3.7186564,true,228088.84375,3.478285e6,4.595582e6
-77.234,6.0208,true,8493.951171875,37186.0234375,173360.046875
-75.5751,6.2074,true,3.69919e6,4.286894e6,4.7338275e6
-68.261944,12.185278,true,19271.216796875,19271.21875,163402.59375
128.43,-3.1027,true,29794.189453125,185589.296875,1.014244625e6
4.233333,51.333333,true,1.23825425e6,3.8849465e6,9.591776e6
-62.976667,17.490278,true,14784.138671875,50353.859375,141378.78125
-63.234722,17.630556,true,2019.986328125,40177.7890625,142451.203125
4.215833,51.771667,true,1.07992275e6,4.293726e6,8.1875965e6
116.785,1.2283,true,39805.62890625,66862.734375,90614.0546875
112.2384,-7.5361,true,2.2599635e6,7.832804e6,2.0643192e7
5.1511,53.1697,true,37595.7109375,511853.1875,1.4800155e6
4.883333,52.366667,true,2.34104e6,5.630228e6,9.121224e6
124.0,10.25,true,2.7809385e6,4.344412e6,6.004239e6
80.110278,6.147222,true,857775.5,2.060045125e6,4.4560665e6
105.09085,8.692626,true,181258.03125,711918.9375,1.41216275e6
99.33311,9.14011,true,347584.875,678680.5,1.097428625e6
145.45,15.15,true,1.869828462600708,47352.7109375,47352.7109375
-64.75,18.33,true,76927.625,83493.046875,134196.9375
123.72109,8.434416,true,400847.28125,1.5309125e6,3.4258195e6
-88.390154,16.129827,true,68.84998321533203,59184.27734375,570319.125
127.7974,-4.8312298,true,0.0,0.0,26.08438491821289
119.54602,-4.735836,true,365196.3125,2.1135675e6,3.750557e6
119.48846,-4.743932,true,337822.5625,2.3633135e6,3.67074475e6
119.49194,-4.765257,true,350936.375,2.5782985e6,3.7142345e6
119.49195,-4.982444,true,2.17070025e6,3.09066875e6,3.911616e6
101.11758,4.69395,true,1.0049996875e6,1.617232e6,2.168256e6
-61.0,14.666667,true,351213.40625,370391.0,461984.8125
-90.07,29.8,true,696979.5,1.022731375e6,1.41746375e6
-91.55,18.616664,true,51774.5546875,226872.8125,301500.875
-90.5,-0.5,true,937.537109375,20934.201171875,23994.9921875
-51.976979,-0.690871,true,1261.5506591796875,7387.1318359375,95627.6640625
-51.406,3.704,true,2404.814208984375,27418.55078125,34090.9765625
-50.203,1.587,true,4.692750930786133,1484.8485107421875,8896.513671875
36.2833,-18.8333,true,14064.671875,55304.55078125,224275.4375
95.1,15.8333,true,76990.2265625,321402.375,1.322282875e6
-102.5528,23.6345,true,14280.4130859375,54901.4375,432793.03125
39.9568,3.3592,true,132365.65625,520046.5,985946.5
106.8635,10.5083,true,603523.3125,1.3717804e7,1.9510406e7
160.1562,-9.6457,true,45692.3359375,213132.59375,268687.375
-78.9167,20.8333,true,10.433060646057129,547.5804443359375,4839.93359375
178.1069,-18.3763,true,20492.91796875,181264.96875,422709.125
