Y,CE,CV,DC,FI,GV,HP,MP,OC,PF,PP,RC,RT,SC,TC,study year,Marginal Valuation,Coastal dunes,Coastal lakes and lagoons,Coastal river deltas,Coastal salt marshes and reedbeds,Mangroves,Muddy shorelines,Riverine estuaries and bays,Rocky shorelines,Tropical dry forests,Tropical rain forests,Aesthetic information,Air quality regulation,Climate regulation,Erosion prevention,"Existence, bequest values",Food,Genetic resources,Information for cognitive development,"Inspiration for culture, art and design",Maintenance of genetic diversity,Maintenance of life cycles,Maintenance of soil fertility,Medicinal resources,Moderation of extreme events,Opportunities for recreation and tourism,Raw materials,Regulation of water flows,Spiritual experience,Waste treatment,Water,Ecosystem study site size,latitude,longitude,Id value,Id study,Countries,Country_Codes,Continent,Real GDP per capita,Population in 25 km radius,Population in 50 km radius,Population in 75 km radius,Ecosystem area in 25 km radius,Ecosystem area in 50 km radius,Ecosystem area in 75 km radius,Length of coastal segment,Urbanization index
4.8141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380012,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
12.7591,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380013,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
37.898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380036,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
118.3783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,52.933333,1.3,7380034,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
201.0265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380033,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3156.7559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380032,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
13.2643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380035,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
6.6321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380037,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
69.5443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380038,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
136.1351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380044,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.8949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380043,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
5.327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380042,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
29.5946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380041,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
243.148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2130,52.933333,1.3,7380040,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
